id,item_group_id,variant_names,variant_values,title,link,image_link,price,product_type,google_product_category,availability,brand,description,condition
49622180561212,9526088237372,,,AUX Japanese Cast Iron Griddle with Lid,https://www.jocgoods.com/products/aux-japanese-cast-iron-griddle-with-lid,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-cast-iron-griddle-with-lid-joc-goods-1.jpg?v=1763556866,27699.71,Kitchenware,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Griddles & Grill Pans,in stock,JOC Goods,"Discover the art of Japanese grilling with the AUX Japanese Cast Iron Griddle with Lid, where timeless craftsmanship meets modern function. Handcrafted in Japan with meticulous care, this sleek rectangular griddle combines the strength of heavy-duty cast iron with the elegance of natural wooden handles, reflecting the balance of beauty and practicality in Japanese design. Its solid iron body distributes and retains heat evenly, creating a crisp sear while keeping food tender and flavorful inside. The matching lid locks in steam and moisture for perfectly cooked dishes every time. From sizzling meats to roasted vegetables, this versatile pan moves effortlessly from stovetop to oven to table. Built to last for generations, it develops a natural patina that improves with use. Pair it with our Cast Iron Griddle Woodboard for beautiful table presentation or the AUX Japanese Carving Knife and Fork set for precision and ease. Please note: EachAUX Cast Iron Grill Pan is handcrafted using traditional Japanese techniques. Marks and slight imperfections are natural features of the iron and do not affect the pan’s performance. This pan is easy to clean with hot water and proper care, developing a natural non-stick surface over time. Key Features & Benefits: Durable cast iron construction: Provides excellent heat retention and even cooking Lid for moisture and flavor retention: Keeps dishes tender and juicy Elegant wooden handles: Ensure a comfortable grip and refined design Explore our full Kitchenware collection and upgrade your cooking experience.",new
49622180725052,9526088368444,,,AUX Japanese Flavoring Tongs,https://www.jocgoods.com/products/aux-japanese-flavoring-tong,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-flavoring-tongs-joc-goods-1.jpg?v=1749266834,3361.97,Tongs,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Tongs,out of stock,JOC Goods,"Make every dish more delicious with the AUX Japanese Flavoring Tongs. Uniquely designed with a deep scoop and slotted head, these tongs allow you to pick up ingredients and drizzle sauce using the same tool. Whether plating vegetables, serving meat, or finishing a dish with sauce, they bring both precision and convenience to your kitchen. Crafted from high-quality stainless steel, the tongs are sturdy, heat-resistant, and easy to clean. Their ergonomic handle ensures a secure grip, so even heavier foods can be lifted with confidence. From stovetop cooking to tabletop serving, they are versatile enough to become a daily essential. Key Features & Benefits: Dual Functionality: Scoop ingredients and drizzle sauces with one tool Ergonomic Grip: Comfortable handle for precise, controlled use Explore our full Kitchenware collection to discover more expertly crafted tools and designs for enhancing your kitchen.",new
49622180987196,9526088630588,,,AUX Japanese Mini Tongs,https://www.jocgoods.com/products/aux-japanese-mini-tong,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-mini-tongs-joc-goods-1.jpg?v=1763556748,2411.85,Tongs,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Tongs,in stock,JOC Goods,"The AUX Japanese Mini Tongs make serving and portioning effortless. Their slim design slips easily into narrow jars or small dishes, making them perfect for pickles, olives, vegetables, or garnishes. Despite their compact size, they provide a secure and comfortable grip, giving you control and precision with even the most delicate foods. Crafted from polished stainless steel, these tongs are both durable and stylish. A patented spring mechanism ensures smooth movement and easy handling, while the slightly elevated tips keep your table and counter clean. Ideal for everyday meals, entertaining guests, or preparing bento boxes, the AUX Japanese Mini Tongs combine smart function with refined Japanese design. A practical tool with a sleek look, they bring both convenience and elegance to the kitchen and table. Key Features & Benefits: Effortless Serving:Scoop and serve with ease, from delicate appetizers to hearty sides. Mess-Free Design: Elevated tips keep your table clean while serving. Explore our Kitchenware collection for unique designs that bring practicality and functionality to your kitchen.",new
49622181151036,9526088728892,,,AUX Japanese Serving Tongs,https://www.jocgoods.com/products/aux-japanese-serving-tongs,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-serving-tongs-joc-goods-1.jpg?v=1763556947,3069.62,Tongs,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Tongs,in stock,JOC Goods,"The AUX Japanese Serving Tongs combine refined design with everyday practicality, making them an elegant addition to any dining table. Crafted from high-quality stainless steel, these tongs are sturdy enough for heavier foods while still precise enough to handle delicate items with ease. The slotted sides help drain excess liquid or oil, keeping dishes neat and presentable. At the same time, the gently pointed tips allow you to pick up delicate foods like smoked salmon, thinly sliced vegetables, or cured meats without tearing or slipping. The ergonomic curve ensures comfort when serving, while the wide paddle-like shape provides stability for lifting salads, pasta, or larger portions. A thoughtful resting design allows the tongs to sit upside down on the table, keeping the serving ends clean between uses. Durable, hygienic, and easy to wash, they bring both versatility and timeless style to everyday meals and special gatherings alike. Key Features & Benefits: Ergonomic Design for Easy Use: Crafted at the ideal angle for smooth, comfortable serving, even while seated. Precision Grip for Delicate Foods: Securely holds thin slices and fragile items without tearing or slipping. Explore our full Kitchenware collection to discover more exquisite tools.",new
49622181380412,9526088892732,,,AUX Japanese Small Serving Tongs,https://www.jocgoods.com/products/aux-japanese-small-serving-tongs,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-small-serving-tongs-joc-goods-1.jpg?v=1749266864,3361.97,Tongs,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Tongs,in stock,JOC Goods,"Small in size but big in versatility, the AUX Japanese Small Serving Tongs are designed to make both cooking and serving effortless. Crafted from durable stainless steel, they combine strength with precision, handling everything from fragile garnishes to hearty portions. The slim, pointed tips let you plate delicate foods with accuracy, while the curved body provides a secure grip for larger items. Heat-resistant and fryer-safe, the tongs also feature a clever design that allows them to rest upright, keeping your table or countertop clean. Perfect for everyday use or special gatherings, these compact tongs add both practicality and elegance to your kitchen toolkit. Thoughtfully made, they turn the simple act of serving into a refined experience. Key Features & Benefits: Precise Plating: Slim tips for clean and accurate serving. Versatile Grip: Securely handles both delicate and larger foods. Explore our full Kitchenware collection to discover more exquisite tools.",new
49622181478716,9526088991036,,,AUX Japanese Honey Spoon,https://www.jocgoods.com/products/aux-japanese-honey-spoon,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-honey-spoon-joc-goods-1.jpg?v=1763557102,2192.59,Kitchenware,Home & Garden > Kitchen & Dining > Tableware > Flatware > Spoons,out of stock,JOC Goods,"Make honey time sweeter and simpler with the AUX Japanese Honey Spoon. Designed with a clever V-shaped scoop, this utensil lets you drizzle honey smoothly and precisely without sticky spills. Just give it a twist to cleanly cut off the flow, making it easy to add the perfect touch of sweetness to tea, yogurt, or warm toast. Crafted from durable stainless steel, the spoon is resistant to stains, hygienic, and easy to clean. The slim, ergonomic handle sits comfortably in the hand, giving you full control whether you are stirring, scooping, or drizzling. Thoughtful in both form and function, it brings elegance and convenience to your everyday kitchen routine. Key Features & Benefits: Drip-Free Design:V-shaped scoop ensures clean, mess-free serving Effortless Honey Serving: Twist the spoon for quick and precise honey transfer Ergonomic Handle:Comfortable grip for easy, controlled pouring Explore our full Kitchenware collection to discover more exquisite tools.",new
49622181577020,9526089122108,,,AUX Japanese Carving Knife and Fork,https://www.jocgoods.com/products/aux-japanese-carving-knife-and-fork,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-carving-knife-and-fork-joc-goods-1.jpg?v=1749266877,21633.54,Kitchenware,Home & Garden > Kitchen & Dining > Tableware > Flatware > Table Knives,in stock,JOC Goods,"Bring precision and elegance to your table with the AUX Japanese Carving Knife and Fork, crafted in collaboration with Tojiro, a celebrated name in Japanese knife-making. Designed for carving and serving meats, this set blends refined aesthetics with exceptional performance. The carving knife features a cobalt alloy core clad in stainless steel, ensuring lasting sharpness and smooth, effortless slicing. Paired with the well-balanced fork, it provides steady control, turning carving into a seamless and satisfying experience. Even dense cuts of meat yield easily, preserving flavor and presentation. Handles made from polished laminated wood offer both beauty and ergonomic comfort, making the set easy to use for extended cooking or serving. Ideal for special gatherings as well as everyday meals, the AUX Japanese Carving Knife and Fork add a touch of sophistication and Japanese craftsmanship to dining at home. For the ultimate dining experience, pair this set with the AUX Japanese Cast Iron Griddle with Lid, which lets you cook steak to a surprisingly even and delicious finish. Whether for special occasions or everyday meals, this carving set adds a refined touch to your kitchen and table. Key Features & Benefits: Exceptional Cutting Precision: Cobalt alloy core with stainless steel layers ensures long-lasting sharpness. Ergonomic Comfort:Laminate wood handle provides a natural, secure grip. Effortless Carving Control:Balanced fork enhances control for smooth, precise carving. Explore our full Kitchenware collection to discover more exquisite tools.",new
49622181871932,9526089253180,,,AUX Japanese Deep-Fry Tongs,https://www.jocgoods.com/products/aux-japanese-deep-fry-tong,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-deep-fry-tongs-joc-goods-1.jpg?v=1763556636,3215.8,Tongs,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Tongs,in stock,JOC Goods,"Make deep frying easier and cleaner with the AUX Japanese Deep-Fry Tongs, thoughtfully designed for home cooks and professionals alike. The slim, elongated shape gives you precision and control, while the closed-loop tips allow excess oil to drain quickly, keeping your frying light and mess-free. Perfect for handling tempura, fried chicken, or delicate seafood, these tongs help achieve crisp and flavorful results every time. Crafted from stainless steel, they are durable, rust-resistant, and simple to clean. The ergonomic design minimizes heat transfer, so the handle stays comfortable even during extended use. Balanced in weight and reinforced for strength, they provide a secure grip without unnecessary bulk. With their efficient, streamlined form, these tongs are a versatile tool for any kitchen, whether you are preparing a small family meal or a seasonal feast. Key Features & Benefits: Closed-Loop Tips: Drains oil quickly for cleaner, lighter frying Comfortable Grip: Stays cool and balanced for safe, easy handling Explore our full Kitchenware collection to discover more exquisite tools.",new
49622182297916,9526089417020,,,AUX Japanese Mini Draining Ladle,https://www.jocgoods.com/products/aux-japanese-draining-ladle,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-mini-draining-ladle-joc-goods-1.jpg?v=1749266892,2192.59,Ladles,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Ladles,in stock,JOC Goods,"The AUX Japanese Mini Draining Ladle is designed for precision and ease, making everyday cooking and serving more efficient. Its slotted bowl drains liquid quickly and evenly, so you can serve exactly what you want, whether vegetables from hotpot, dumplings from broth, or tofu from miso soup. The rounded shape holds generous portions while ensuring smooth draining without spills. Made from durable stainless steel, it resists rust and maintains its clean finish with daily use. The polished surface is easy to rinse and prevents food from sticking, making cleanup simple. A well-balanced handle provides a secure grip and reduces strain during repeated use. Compact in size, it is also convenient for serving directly at the table. This versatile ladle adapts to many kitchen tasks, from draining and portioning to serving with accuracy. Thoughtfully designed and built to last, the AUX Mini Draining Ladle is an indispensable tool for those who value efficiency and reliability in the kitchen. Key Features & Benefits: Effortless Liquid Draining: Quickly drains liquids for precise portioning. Compact Design: Ideal for serving soups, stews, or small portions directly from the pot or bowl. Explore our full Kitchenware collection to discover more exquisite tools.",new
49622182428988,9526089515324,,,AUX Japanese Mini Serving Ladle,https://www.jocgoods.com/products/aux-japanese-mini-serving-ladle,https://cdn.shopify.com/s/files/1/0875/1113/8620/files/aux-japanese-mini-serving-ladle-joc-goods-1.jpg?v=1749266900,2192.59,Ladles,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Ladles,in stock,JOC Goods,"Small in size and endless in use. The AUX Japanese Mini Serving Ladle is designed to make everyday dining both effortless and refined. With its deep rounded bowl, it allows for precise portioning of soups, stews, and hotpot, ensuring that every guest receives the perfect serving. The compact design makes it ideal for tabletop use, bringing both function and elegance directly to the meal. Crafted from high quality stainless steel, this ladle is durable, easy to clean, and resistant to stains and odors. Its gently curved handle is shaped for comfort and control, making it a joy to use when serving family dinners or entertaining guests. The hole at the end of the handle allows for easy hanging storage, keeping your kitchen organized. Practical yet refined, this mini ladle is more than just a tool. It is a thoughtful detail that enhances the dining experience and brings understated Japanese design into daily life. Key Features & Benefits: Effortless Portioning: Serve soups, stews, hotpot, and more with precision. Compact & Space-Saving: Ideal for serving at the table without taking up extra space. Explore our full Kitchenware collection to discover more exquisite tools.",new
